Date,Close,Open,High,Low,Vol.,Change %
"Oct 17, 2012",6786,"6,758.55","6,789.75","6,754.44",39.64M,0.18%
"Oct 18, 2012",6782,"6,748.23","6,789.76","6,742.21",50.33M,-0.07%
"Oct 19, 2012",6756,"6,779.08","6,797.74","6,754.99",43.00M,-0.38%
"Oct 22, 2012",6747,"6,755.55","6,775.65","6,738.02",27.24M,-0.14%
"Oct 23, 2012",6627,"6,745.22","6,745.22","6,615.26",48.66M,-1.78%
"Oct 24, 2012",6627,"6,628.37","6,640.66","6,598.52",41.86M,0.01%
"Oct 25, 2012",6607,"6,611.81","6,644.64","6,604.21",41.63M,-0.31%
"Oct 26, 2012",6601,"6,596.34","6,613.62","6,566.63",41.68M,-0.09%
"Oct 29, 2012",6601,"6,589.78","6,606.79","6,581.67",65.55M,0.01%
"Oct 30, 2012",6633,"6,601.68","6,649.11","6,600.94",80.94M,0.48%
"Oct 31, 2012",6595,"6,624.58","6,644.99","6,595.13",53.55M,-0.57%
"Nov 01, 2012",6660,"6,572.82","6,660.25","6,572.82",49.55M,0.99%
"Nov 02, 2012",6701,"6,656.88","6,704.12","6,654.32",60.64M,0.62%
"Nov 05, 2012",6706,"6,686.43","6,710.12","6,679.79",36.58M,0.07%
"Nov 06, 2012",6746,"6,709.09","6,749.50","6,701.90",43.56M,0.59%
"Nov 07, 2012",6698,"6,779.12","6,803.03","6,697.63",52.98M,-0.71%
"Nov 08, 2012",6714,"6,721.12","6,742.36","6,702.40",48.93M,0.24%
"Nov 09, 2012",6715,"6,709.92","6,724.15","6,663.95",40.70M,0.02%
"Nov 12, 2012",6697,"6,712.30","6,725.62","6,690.41",27.92M,-0.28%
"Nov 13, 2012",6723,"6,682.28","6,733.44","6,659.55",34.96M,0.39%
"Nov 14, 2012",6677,"6,709.10","6,713.36","6,670.38",30.53M,-0.68%
"Nov 15, 2012",6575,"6,637.61","6,643.17","6,571.55",39.49M,-1.53%
"Nov 16, 2012",6509,"6,540.77","6,574.44","6,508.52",48.76M,-1.00%
"Nov 19, 2012",6639,"6,541.73","6,638.89","6,537.14",39.44M,2.00%
"Nov 20, 2012",6619,"6,614.81","6,628.93","6,585.25",38.48M,-0.30%
"Nov 21, 2012",6644,"6,606.51","6,645.24","6,601.49",33.95M,0.37%
"Nov 22, 2012",6679,"6,657.65","6,687.54","6,646.69",27.60M,0.53%
"Nov 23, 2012",6715,"6,679.13","6,724.48","6,673.97",25.56M,0.54%
"Nov 26, 2012",6682,"6,701.68","6,714.36","6,676.88",26.95M,-0.49%
"Nov 27, 2012",6712,"6,704.77","6,724.74","6,696.88",35.83M,0.45%
"Nov 28, 2012",6756,"6,702.00","6,756.74","6,699.53",32.93M,0.67%
"Nov 29, 2012",6829,"6,786.84","6,829.49","6,782.20",40.62M,1.07%
"Nov 30, 2012",6821,"6,819.80","6,848.20","6,815.31",45.10M,-0.12%
"Dec 03, 2012",6839,"6,831.93","6,874.04","6,827.16",30.96M,0.27%
"Dec 04, 2012",6853,"6,841.42","6,872.92","6,839.51",34.70M,0.21%
"Dec 05, 2012",6852,"6,870.37","6,876.52","6,834.22",34.19M,-0.02%
"Dec 06, 2012",6912,"6,861.29","6,912.16","6,861.29",34.53M,0.88%
"Dec 07, 2012",6925,"6,908.68","6,940.77","6,898.05",29.98M,0.19%
"Dec 10, 2012",6944,"6,921.83","6,948.60","6,897.71",23.18M,0.27%
"Dec 11, 2012",6974,"6,947.55","6,986.93","6,940.23",30.76M,0.43%
"Dec 12, 2012",6959,"6,972.50","7,000.60","6,957.06",34.92M,-0.21%
"Dec 13, 2012",6920,"6,967.56","6,969.51","6,913.68",35.05M,-0.57%
"Dec 14, 2012",6903,"6,925.40","6,926.72","6,894.05",37.54M,-0.25%
"Dec 17, 2012",6897,"6,897.76","6,900.14","6,879.61",35.87M,-0.08%
"Dec 18, 2012",6912,"6,918.94","6,931.11","6,904.24",43.52M,0.22%
"Dec 19, 2012",6946,"6,931.79","6,972.09","6,925.31",46.62M,0.49%
"Dec 20, 2012",6913,"6,921.99","6,930.34","6,908.32",40.80M,-0.48%
"Dec 21, 2012",6890,"6,916.26","6,926.73","6,868.24",84.66M,-0.34%
"Dec 27, 2012",6863,"6,877.28","6,892.87","6,858.84",31.31M,-0.39%
"Dec 28, 2012",6822,"6,871.57","6,879.23","6,822.44",27.25M,-0.58%
"Jan 03, 2013",7020,"6,975.16","7,020.46","6,970.80",51.04M,2.90%
"Jan 04, 2013",7059,"7,015.48","7,059.12","7,004.58",29.55M,0.55%
"Jan 07, 2013",7049,"7,062.40","7,073.13","7,049.20",40.93M,-0.14%
"Jan 08, 2013",7075,"7,051.37","7,088.53","7,046.25",38.61M,0.36%
"Jan 09, 2013",7152,"7,097.81","7,152.64","7,094.95",50.99M,1.09%
"Jan 10, 2013",7144,"7,163.12","7,175.09","7,139.24",40.43M,-0.11%
"Jan 11, 2013",7188,"7,175.33","7,194.33","7,155.28",41.66M,0.62%
"Jan 14, 2013",7203,"7,212.57","7,230.77","7,187.53",44.96M,0.20%
"Jan 15, 2013",7272,"7,203.72","7,272.51","7,201.15",45.43M,0.97%
"Jan 16, 2013",7305,"7,272.12","7,319.35","7,259.62",45.55M,0.45%
"Jan 17, 2013",7430,"7,324.67","7,430.54","7,321.89",54.81M,1.71%
"Jan 18, 2013",7369,"7,449.18","7,457.65","7,363.04",79.83M,-0.82%
"Jan 21, 2013",7336,"7,362.93","7,375.97","7,310.62",33.47M,-0.44%
"Jan 22, 2013",7292,"7,339.63","7,340.71","7,280.44",42.08M,-0.60%
"Jan 23, 2013",7392,"7,329.45","7,406.46","7,325.75",53.75M,1.37%
"Jan 24, 2013",7458,"7,391.63","7,465.76","7,380.39",51.44M,0.89%
"Jan 25, 2013",7459,"7,443.19","7,468.38","7,435.83",40.08M,0.01%
"Jan 28, 2013",7484,"7,470.91","7,495.83","7,462.98",35.19M,0.34%
"Jan 29, 2013",7458,"7,460.21","7,465.98","7,414.07",36.41M,-0.35%
"Jan 30, 2013",7388,"7,453.39","7,456.47","7,380.96",40.83M,-0.94%
"Jan 31, 2013",7391,"7,385.87","7,417.95","7,343.81",44.84M,0.04%
"Feb 01, 2013",7420,"7,383.67","7,440.87","7,382.24",43.07M,0.40%
